language,judge,protocol,expected_calls,valid_calls,format_parse_failures,empty_or_api_failures,missing_calls,total_failures
en,Qwen-7B,single_grade,960,960,0,0,0,0
en,Qwen-7B,pairwise,2400,2400,0,0,0,0
en,Qwen-7B,single_grade_ref,174,169,5,0,0,5
en,Qwen-14B,single_grade,960,960,0,0,0,0
en,Qwen-14B,pairwise,2400,2400,0,0,0,0
en,Qwen-14B,single_grade_ref,174,174,0,0,0,0
en,Qwen-32B,single_grade,960,958,2,0,0,2
en,Qwen-32B,pairwise,2400,2398,2,0,0,2
en,Qwen-32B,single_grade_ref,174,174,0,0,0,0
en,EXAONE-32B,single_grade,960,954,6,0,0,6
en,EXAONE-32B,pairwise,2400,2400,0,0,0,0
en,EXAONE-32B,single_grade_ref,174,174,0,0,0,0
en,GPT-4o-mini,single_grade,960,960,0,0,0,0
en,GPT-4o-mini,pairwise,2400,2387,0,13,0,13
en,GPT-4o-mini,single_grade_ref,174,174,0,0,0,0
en,Gemma-4-12B,single_grade,960,957,3,0,0,3
en,Gemma-4-12B,pairwise,2400,2380,20,0,0,20
en,Gemma-4-12B,single_grade_ref,174,174,0,0,0,0
ko,Qwen-7B,single_grade,960,915,45,0,0,45
ko,Qwen-7B,pairwise,2400,2396,4,0,0,4
ko,Qwen-7B,single_grade_ref,174,116,58,0,0,58
ko,Qwen-14B,single_grade,960,955,5,0,0,5
ko,Qwen-14B,pairwise,2400,2400,0,0,0,0
ko,Qwen-14B,single_grade_ref,174,171,3,0,0,3
ko,Qwen-32B,single_grade,960,959,1,0,0,1
ko,Qwen-32B,pairwise,2400,2399,1,0,0,1
ko,Qwen-32B,single_grade_ref,174,174,0,0,0,0
ko,EXAONE-32B,single_grade,960,928,32,0,0,32
ko,EXAONE-32B,pairwise,2400,2400,0,0,0,0
ko,EXAONE-32B,single_grade_ref,174,174,0,0,0,0
ko,GPT-4o-mini,single_grade,960,958,2,0,0,2
ko,GPT-4o-mini,pairwise,2400,2400,0,0,0,0
ko,GPT-4o-mini,single_grade_ref,174,174,0,0,0,0
ko,Gemma-4-12B,single_grade,960,956,4,0,0,4
ko,Gemma-4-12B,pairwise,2400,2397,3,0,0,3
ko,Gemma-4-12B,single_grade_ref,174,174,0,0,0,0
